family	segmented
Polydnaviriformidae	yes
Geminiviridae	yes
Cystoviridae	yes
Sedoreoviridae	yes
Spinareoviridae	yes
Orthomyxoviridae	yes
Arenaviridae	yes
Nodaviridae	yes
Virgaviridae	yes
Bromoviridae	yes
Phenuiviridae	yes
Potyviridae	yes
Nanoviridae	yes
Closteroviridae	yes
Benyviridae	yes
Peribunyaviridae	yes
Alphatetraviridae	yes
Partitiviridae	yes
Hantaviridae	yes
Picobirnaviridae	yes
Rhabdoviridae	yes
Botourmiaviridae	yes
Totiviridae	yes
Chrysoviridae	yes
Secoviridae	yes
Tospoviridae	yes
Alternaviridae	yes
Quadriviridae	yes
Birnaviridae	yes
Flaviviridae	yes
Bidnaviridae	yes
Megabirnaviridae	yes
Polymycoviridae	yes
Narnaviridae	yes
Mayoviridae	yes
Fimoviridae	yes
Nairoviridae	yes
Phasmaviridae	yes
Amnoonviridae	yes
Alphasatellitidae	yes
Aspiviridae	yes
Chuviridae	yes
Qinviridae	yes
Yueviridae	yes
Mypoviridae	yes
Nyamiviridae	yes
Leishbuviridae	yes
Curvulaviridae	yes
Cruliviridae	yes
Kitaviridae	yes
Tombusviridae	yes
Poxviridae	no
Hepadnaviridae	no
Baculoviridae	no
Iridoviridae	no
Asfarviridae	no
Phycodnaviridae	no
Adenoviridae	no
Papillomaviridae	no
Corticoviridae	no
Straboviridae	no
Peduoviridae	no
Herelleviridae	no
Demerecviridae	no
Schitoviridae	no
Salasmaviridae	no
Geminiviridae	no
Microviridae	no
Inoviridae	no
Totiviridae	no
Togaviridae	no
Coronaviridae	no
Paramyxoviridae	no
Filoviridae	no
Rhabdoviridae	no
Retroviridae	no
Caliciviridae	no
Solemoviridae	no
Picornaviridae	no
Closteroviridae	no
Betaflexiviridae	no
Alphaflexiviridae	no
Potyviridae	no
Virgaviridae	no
Kolmioviridae	no
Polyomaviridae	no
Alphatetraviridae	no
Pospiviroidae	no
Avsunviroidae	no
Partitiviridae	no
Caulimoviridae	no
Flaviviridae	no
Barnaviridae	no
Fiersviridae	no
Plasmaviridae	no
Orthoherpesviridae	no
Sedoreoviridae	no
Tolecusatellitidae	no
Aliceevansviridae	no
Anelloviridae	no
Astroviridae	no
Parvoviridae	no
Tobaniviridae	no
Alphasatellitidae	no
Tymoviridae	no
Gammaflexiviridae	no
Zobellviridae	no
Autographiviridae	no
Ascoviridae	no
Leisingerviridae	no
Lipothrixviridae	no
Permutotetraviridae	no
Narnaviridae	no
Polydnaviriformidae	no
Rountreeviridae	no
Carmotetraviridae	no
Hafunaviridae	no
Tombusviridae	no
Iflaviridae	no
Ungulaviridae	no
Fuselloviridae	no
Drexlerviridae	no
Mesomimiviridae	no
Turriviridae	no
Fredfastierviridae	no
Mesyanzhinovviridae	no
Mitoviridae	no
Bicaudaviridae	no
Hepeviridae	no
Endornaviridae	no
Marnaviridae	no
Tectiviridae	no
Nimaviridae	no
Polycipiviridae	no
Plectroviridae	no
Solinviviridae	no
Nyamiviridae	no
Marseilleviridae	no
Clavaviridae	no
Circoviridae	no
Vilmaviridae	no
Kyanoviridae	no
Casjensviridae	no
Dicistroviridae	no
Guttaviridae	no
Sinhaliviridae	no
Hypoviridae	no
Ackermannviridae	no
Smacoviridae	no
Mimiviridae	no
Spiraviridae	no
Rudiviridae	no
Druskaviridae	no
Mesoniviridae	no
Metaxyviridae	no
Arteriviridae	no
Bornaviridae	no
Lavidaviridae	no
Genomoviridae	no
Peribunyaviridae	no
Amalgaviridae	no
Sunviridae	no
Xinmoviridae	no
Lispiviridae	no
Fusariviridae	no
Sarthroviridae	no
Phenuiviridae	no
Picobirnaviridae	no
Paulinoviridae	no
Hantaviridae	no
Vertoviridae	no
Artoviridae	no
Blumeviridae	no
Alvernaviridae	no
Sphaerolipoviridae	no
Metaviridae	no
Ovaliviridae	no
Portogloboviridae	no
Cystoviridae	no
Deltaflexiviridae	no
Aspiviridae	no
Bacilladnaviridae	no
Intestiviridae	no
Alloherpesviridae	no
Medioniviridae	no
Chuviridae	no
Mononiviridae	no
Euroniviridae	no
Wupedeviridae	no
Chrysoviridae	no
Botourmiaviridae	no
Zierdtviridae	no
Duneviridae	no
Stanwilliamsviridae	no
Redondoviridae	no
Chaseviridae	no
Pleolipoviridae	no
Cremegaviridae	no
Gresnaviridae	no
Olifoviridae	no
Nanghoshaviridae	no
Nanhypoviridae	no
Finnlakeviridae	no
Halspiviridae	no
Crevaviridae	no
Suoliviridae	no
Steigviridae	no
Globuloviridae	no
Tristromaviridae	no
Duinviridae	no
Mymonaviridae	no
Ampullaviridae	no
Steitzviridae	no
Natareviridae	no
Guelinviridae	no
Grimontviridae	no
Winoviridae	no
Matshushitaviridae	no
Autolykiviridae	no
Myriaviridae	no
Aliusviridae	no
Matonaviridae	no
Yadokariviridae	no
Vilyaviridae	no
Pachyviridae	no
Graaviviridae	no
Orlajensenviridae	no
Pervagoviridae	no
Assiduviridae	no
Madisaviridae	no
Haloferuviridae	no
Soleiviridae	no
Forsetiviridae	no
Halomagnusviridae	no
Saparoviridae	no
Aggregaviridae	no
Pyrstoviridae	no
Helgolandviridae	no
Shortaselviridae	no
Anaerodiviridae	no
Nenyaviridae	no
Molycolviridae	no
Naomviridae	no
Suolaviridae	no
Secoviridae	no
Pneumoviridae	no
Nudiviridae	no
Roniviridae	no
Malacoherpesviridae	no
Birnaviridae	no
Hytrosaviridae	no
Pootjesviridae	no
Arenaviridae	no
Tospoviridae	no
Phasmaviridae	no
Schizomimiviridae	no
Noraviridae	no
Amesuviridae	no
